Accession,Length,Nuc_Completeness,Geo_Location
MW424831,29817,partial,USA: TX
MW424832,29862,complete,USA: TX
MW424833,29850,partial,USA: TX
MW424834,29854,partial,USA: TX
MW424835,29861,complete,USA: TX
MW424836,29818,complete,USA: TX
MW424837,29837,complete,USA: TX
MW424838,29826,partial,USA: TX
MW424839,29818,partial,USA: TX
MW424840,29816,partial,USA: TX
MW424841,29899,partial,USA: TX
MW424842,29855,complete,USA: TX
MW424843,29857,partial,USA: TX
MW424844,29853,partial,USA: TX
MW424845,29897,partial,USA: TX
MW424846,29865,partial,USA: TX
MW424847,29831,partial,USA: TX
MW424848,29839,partial,USA: TX
MW424849,29886,partial,USA: TX
MW424850,29826,partial,USA: TX
MW424851,29853,partial,USA: TX
MW424852,29817,partial,USA: TX
MW424853,29857,partial,USA: TX
MW424854,29815,complete,USA: TX
MW424855,29865,partial,USA: TX
MW424856,29826,partial,USA: TX
MW424857,29849,complete,USA: TX
MW424858,29842,partial,USA: TX
MW424860,29824,complete,USA: California
MW424861,29825,complete,USA: California
MW424862,29838,complete,USA: California
MW424863,29850,complete,USA: California
MW424864,29846,complete,USA: California
MW424865,29846,complete,USA: California
MW424866,29824,partial,USA: California
MW424867,29843,complete,USA: California
MW424868,29871,complete,USA: California
MW424869,29859,complete,USA: California
MW424870,29841,partial,USA: California
MW424871,29845,complete,USA: California
MW424872,29901,complete,USA: California
MW424873,29823,complete,USA: California
MW424874,29840,complete,USA: California
MW424875,29827,complete,USA: California
MW424876,29825,complete,USA: California
MW424877,29864,complete,USA: California
MW424878,29900,complete,USA: California
MW424879,29849,complete,USA: California
MW424880,29837,partial,USA: California
MW424881,29848,partial,USA: California
MW424882,29860,complete,USA: California
MW424883,29886,complete,USA: California
MW424884,29857,complete,USA: California
MW424885,29854,partial,USA: California
MW424886,29847,complete,USA
MW424887,29803,partial,USA
MW424888,29816,partial,USA
MW424889,29867,partial,USA
MW424890,29865,partial,USA
MW424891,29813,partial,USA
MW424892,29903,complete,USA
MW424893,29901,partial,USA
MW424894,29578,partial,USA
MW424895,29903,complete,USA
MW424896,29887,partial,USA
MW424897,29899,complete,USA
MW424898,29894,complete,USA
MW424899,29805,partial,USA
MW424900,29899,complete,USA
MW424901,29899,complete,USA
MW424902,29898,partial,USA
MW424903,29899,complete,USA
MW424904,29867,partial,USA
MW424905,29901,partial,USA
MW424906,29865,partial,USA
MW424907,29855,complete,USA
MW424908,29867,complete,USA
MW424909,29896,complete,USA
MW424910,29578,partial,USA
MW424911,29794,partial,USA
MW424912,29858,complete,USA
MW424913,29252,partial,USA
MW424914,29813,partial,USA
MW424915,29889,complete,USA
MW424916,29856,complete,USA
MW424917,29817,complete,USA
MW424918,29892,partial,USA
MW424919,29807,partial,USA
MW424920,29865,partial,USA
MW424921,29881,partial,USA
MW424922,29869,partial,USA
MW424923,29857,complete,USA
MW424924,29900,complete,USA
MW424925,29867,partial,USA
MW424926,29899,complete,USA
MW424927,29865,partial,USA
MW424928,29813,partial,USA
MW424929,29887,complete,USA
MW424930,29886,partial,USA
MW424931,29866,partial,USA
MW424932,29802,partial,USA
MW424933,29799,partial,USA
MW424934,29865,partial,USA
MW424935,29865,partial,USA
MW424936,29902,complete,USA
MW424937,29891,complete,USA
MW424938,29823,partial,USA
MW424939,29902,complete,USA
MW424940,29899,complete,USA
MW424941,29898,complete,USA
MW424942,29812,partial,USA
MW424943,29578,partial,USA
MW424944,29865,partial,USA
MW424945,29903,complete,USA
MW424946,29903,complete,USA
MW424947,29901,complete,USA
MW424948,29818,complete,USA
MW424949,29899,complete,USA
MW424950,29814,partial,USA
MW424951,29887,complete,USA
MW424952,29835,partial,USA
MW424953,29842,complete,USA
MW424954,29892,complete,USA
MW424955,29903,complete,USA
MW424956,29814,partial,USA
MW424957,29902,complete,USA
MW424958,29893,complete,USA
MW424959,29846,complete,USA
MW424960,29903,partial,USA
MW424961,29887,partial,USA
MW424962,29866,partial,USA
MW424963,29901,complete,USA
MW424964,29865,partial,USA
MW424965,29865,partial,USA
MW424966,29864,partial,USA
MW424967,29873,complete,USA
MW424968,29852,complete,USA
MW424969,29903,complete,USA
MW424970,29805,partial,USA
MW424971,29818,complete,USA
MW424972,29873,partial,USA
MW424973,29896,complete,USA
MW424974,29853,partial,USA
MW424975,29866,partial,USA
MW424976,29855,partial,USA
MW424977,29854,complete,USA
MW424978,29850,complete,USA
MW424979,29578,partial,USA
MW424980,29856,complete,USA
MW424981,29853,complete,USA
MW424982,29578,partial,USA
MW424983,29901,complete,USA
MW424984,29899,complete,USA
MW424995,29797,partial,USA: TX
MW424996,29768,partial,USA: TX
MW424997,29798,partial,USA: TX
MW424998,29798,partial,USA: TX
MW424999,29735,partial,USA: TX
MW425000,29811,partial,USA: TX
MW425001,29798,partial,USA: TX
MW425002,29812,partial,USA: TX
MW425003,29796,partial,USA: TX
MW425004,29803,partial,USA: TX
MW425005,29812,partial,USA: TX
MW425006,29768,partial,USA: TX
MW425007,29797,partial,USA: TX
MW425008,29810,partial,USA: TX
MW425009,29812,partial,USA: TX
MW425010,29798,partial,USA: TX
MW425011,29823,partial,USA: TX
MW425012,29799,partial,USA: TX
MW425013,29864,partial,USA: TX
MW425014,29803,partial,USA: TX
MW425015,29794,partial,USA: TX
MW425016,29811,partial,USA: TX
MW425017,29759,partial,USA: TX
MW425018,29790,partial,USA: TX
MW425019,29802,partial,USA: TX
MW425020,29814,partial,USA: TX
MW425021,29808,partial,USA: TX
MW425022,29691,partial,USA: TX
MW425023,29801,partial,USA: TX
MW425024,29813,partial,USA: TX
MW425025,29864,partial,USA: TX
MW425026,29798,partial,USA: TX
MW425027,29800,partial,USA: TX
MW425028,29797,partial,USA: TX
MW425029,29807,partial,USA: TX
MW425030,29812,partial,USA: TX
MW425031,29811,partial,USA: TX
MW419977,29859,partial,USA
MW419978,29809,partial,USA
MW419979,29859,partial,USA
MW419980,29865,partial,USA
MW419981,29876,complete,USA
MW419982,29893,complete,USA
MW419983,29895,complete,USA
MW419984,29892,complete,USA
MW419985,29893,complete,USA
MW419986,29882,complete,USA
MW419987,29895,complete,USA
MW419988,29887,complete,USA
MW419997,29901,complete,West Bank: Qalqilya
MW419998,29822,partial,USA: TX
MW419999,29843,complete,USA: TX
MW420000,29865,partial,USA: TX
MW420001,29871,partial,USA: TX
MW420002,29865,partial,USA: TX
MW420003,29887,partial,USA: TX
MW420004,29894,partial,USA: TX
MW420005,29865,partial,USA: TX
MW420006,29829,complete,USA: TX
MW420007,29856,partial,USA: TX
MW420008,29851,partial,USA: TX
MW420009,29887,partial,USA: TX
MW420010,29899,partial,USA: TX
MW420011,29829,partial,USA: TX
MW420012,29825,complete,USA: TX
MW420013,29865,partial,USA: TX
MW420014,29827,partial,USA: TX
MW420015,29840,partial,USA: TX
MW420016,29892,partial,USA: TX
MW420017,29866,partial,USA: TX
MW420018,29891,partial,USA: TX
MW420019,29865,partial,USA: TX
MW420020,29867,partial,USA: TX
MW420021,29824,partial,USA: TX
MW420022,29853,partial,USA: TX
MW420023,29899,complete,USA: TX
MW420024,29847,partial,USA: TX
MW420025,29825,partial,USA: TX
MW420026,29893,complete,USA: TX
MW420027,29866,partial,USA: TX
MW420028,29898,complete,USA: TX
MW420029,29894,partial,USA: TX
MW420030,29824,partial,USA: TX
MW420031,29893,partial,USA: TX
MW420032,29897,complete,USA: TX
MW420033,29851,complete,USA: TX
MW420034,29865,partial,USA: TX
MW420035,29899,complete,USA: TX
MW420036,29843,partial,USA: TX
MW420037,29830,partial,USA: TX
MW420038,29866,complete,USA: TX
MW420039,29855,complete,USA: TX
MW420040,29865,partial,USA: TX
MW420041,29828,complete,USA: TX
MW420042,29872,partial,USA: TX
MW420043,29865,complete,USA: TX
MW420047,29781,complete,USA
MW420048,29781,complete,USA
MW420049,29781,complete,USA
MW420050,29781,complete,USA
MW420051,29781,complete,USA
MW420052,29781,partial,USA
MW420053,29781,partial,USA
MW420054,29781,complete,USA
MW420055,29781,complete,USA
MW420056,29781,partial,USA
MW420057,29781,partial,USA
MW420058,29781,partial,USA
MW420059,29781,partial,USA
MW420060,29781,complete,USA
MW420061,29781,complete,USA
MW420062,29781,partial,USA
MW420063,29781,partial,USA
MW420064,29781,partial,USA
MW420065,29781,complete,USA
MW420066,29781,complete,USA
MW420067,29781,partial,USA
MW420068,29781,complete,USA
MW420069,29781,complete,USA
MW420070,29781,partial,USA
MW420071,29781,complete,USA
MW420072,29781,complete,USA
MW420073,29781,complete,USA
MW420074,29781,complete,USA
MW420075,29781,partial,USA
MW420076,29781,complete,USA
MW420077,29781,complete,USA
MW420078,29781,partial,USA
MW420079,29781,complete,USA
MW420080,29781,complete,USA
MW420081,29781,complete,USA
MW420082,29781,complete,USA
MW420083,29781,partial,USA
MW420084,29781,complete,USA
MW420085,29781,complete,USA
MW420086,29781,complete,USA
MW420087,29781,partial,USA
MW420088,29781,complete,USA
MW420089,29781,partial,USA
MW420090,29781,partial,USA
MW420091,29781,complete,USA
MW420092,29781,complete,USA
MW420093,29781,partial,USA
MW420094,29781,partial,USA
MW420095,29781,complete,USA
MW420096,29781,complete,USA
MW420097,29781,complete,USA
MW420098,29781,complete,USA
MW420099,29781,complete,USA
MW420100,29781,complete,USA
MW420101,29781,partial,USA
MW420102,29781,partial,USA
MW420103,29781,complete,USA
MW420104,29781,complete,USA
MW420105,29781,complete,USA
MW420106,29781,partial,USA
MW420107,29781,partial,USA
MW420108,29781,partial,USA
MW420109,29781,complete,USA
MW420110,29781,complete,USA
MW420111,29781,complete,USA
MW420112,29781,partial,USA
MW420113,29781,partial,USA
MW420114,29781,partial,USA
MW420115,29781,complete,USA
MW420116,29781,partial,USA
MW420117,29781,partial,USA
MW420118,29781,partial,USA
MW420119,29781,partial,USA
MW420120,29781,partial,USA
MW420121,29781,complete,USA
MW420122,29781,complete,USA
MW420123,29781,complete,USA
MW420124,29781,partial,USA
MW420125,29781,partial,USA
MW420126,29781,partial,USA
MW420127,29781,complete,USA
MW420128,29781,complete,USA
MW420129,29781,partial,USA
MW420130,29781,complete,USA
MW420131,29781,complete,USA
MW420132,29781,partial,USA
MW420133,29781,partial,USA
MW420134,29781,partial,USA
MW420135,29781,partial,USA
MW420136,29781,partial,USA
MW420137,29781,complete,USA
MW420138,29780,complete,USA
MW420139,29781,partial,USA
MW420140,29781,complete,USA
MW420141,29781,complete,USA
MW420142,29781,partial,USA
MW420143,29781,complete,USA
MW420144,29781,partial,USA
MW420145,29781,complete,USA
MW420146,29781,complete,USA
MW420147,29781,complete,USA
MW420148,29781,complete,USA
MW420149,29781,complete,USA
MW420150,29781,complete,USA
MW420151,29781,complete,USA
MW420152,29781,partial,USA
MW420153,29781,partial,USA
MW420154,29781,complete,USA
MW420155,29781,complete,USA
MW420156,29781,complete,USA
MW420157,29781,complete,USA
MW420158,29781,complete,USA
MW420159,29781,partial,USA
MW420160,29781,complete,USA
MW420161,29781,complete,USA
MW420162,29781,partial,USA
MW420163,29781,complete,USA
MW420164,29781,complete,USA
MW420165,29781,complete,USA
MW420166,29781,partial,USA
MW420167,29781,complete,USA
MW420168,29781,complete,USA
MW420169,29782,partial,USA
MW420170,29781,partial,USA
MW420171,29781,partial,USA
MW420172,29781,complete,USA
MW420173,29781,partial,USA
MW420174,29781,partial,USA
MW420175,29781,complete,USA
MW420176,29781,partial,USA
MW420177,29781,partial,USA
MW420178,29781,partial,USA
MW420179,29781,complete,USA
MW420180,29781,complete,USA
MW420181,29781,complete,USA
MW420182,29781,complete,USA
MW420183,29781,partial,USA
MW420184,29781,complete,USA
MW420185,29781,partial,USA
MW420186,29781,partial,USA
MW420187,29781,complete,USA
MW420188,29781,partial,USA
MW420189,29781,complete,USA
MW420190,29781,complete,USA
MW420191,29781,partial,USA
MW420192,29781,complete,USA
MW420193,29769,partial,USA
MW420194,29781,complete,USA
MW420195,29781,complete,USA
MW420196,29781,complete,USA
MW420197,29781,partial,USA
MW420198,29781,complete,USA
MW420199,29781,partial,USA
MW420200,29781,complete,USA
MW420201,29778,complete,USA
MW420202,29781,complete,USA
MW420203,29781,partial,USA
MW420204,29781,complete,USA
MW420205,29781,partial,USA
MW420206,29781,partial,USA
MW420207,29780,partial,USA
MW420208,29781,partial,USA
MW420209,29781,partial,USA
MW420210,29781,partial,USA
MW420211,29781,complete,USA
MW420212,29775,partial,USA
MW420213,29781,partial,USA
MW420214,29781,complete,USA
MW420215,29781,complete,USA
MW420216,29781,partial,USA
MW420217,29781,complete,USA
MW420218,29781,complete,USA
MW420219,29781,complete,USA
MW420220,29781,complete,USA
MW420221,29781,complete,USA
MW420222,29781,partial,USA
MW420223,29781,complete,USA
MW420224,29781,partial,USA
MW420225,29781,partial,USA
MW420226,29781,complete,USA
MW420227,29781,complete,USA
MW420228,29781,complete,USA
MW420229,29781,complete,USA
MW420230,29781,partial,USA
MW420231,29781,complete,USA
MW420232,29781,complete,USA
MW420233,29781,partial,USA
MW420234,29781,complete,USA
MW420235,29781,complete,USA
MW420236,29781,partial,USA
MW420237,29781,complete,USA
MW420238,29781,complete,USA
MW420239,29781,partial,USA
MW420240,29781,complete,USA
MW420241,29781,complete,USA
MW420242,29781,complete,USA
MW420243,29781,complete,USA
MW420244,29781,complete,USA
MW420245,29781,complete,USA
MW420246,29781,complete,USA
MW420247,29781,complete,USA
MW420248,29781,complete,USA
MW420249,29781,complete,USA
MW420250,29781,partial,USA
MW420251,29781,complete,USA
MW420252,29781,complete,USA
MW420253,29781,partial,USA
MW420254,29781,complete,USA
MW420255,29781,partial,USA
MW420256,29781,complete,USA
MW420257,29781,complete,USA
MW420258,29781,complete,USA
MW420259,29781,partial,USA
MW420260,29781,partial,USA
MW420261,29781,complete,USA
MW420262,29781,complete,USA
MW420263,29781,partial,USA
MW420264,29781,complete,USA
MW420265,29781,partial,USA
MW420266,29781,complete,USA
MW420267,29781,complete,USA
MW420268,29781,partial,USA
MW420269,29781,partial,USA
MW420270,29781,complete,USA
MW420271,29781,complete,USA
MW420272,29781,complete,USA
MW420273,29781,complete,USA
MW420274,29781,complete,USA
MW420275,29781,complete,USA
MW420276,29781,complete,USA
MW420277,29781,partial,USA
MW420278,29781,complete,USA
MW420279,29781,complete,USA
MW420280,29781,complete,USA
MW420281,29781,partial,USA
MW420282,29781,complete,USA
MW420283,29781,complete,USA
MW420284,29781,complete,USA
MW420285,29781,complete,USA
MW420286,29781,complete,USA
MW420287,29781,partial,USA
MW420288,29781,complete,USA
MW420289,29781,partial,USA
MW420290,29781,partial,USA
MW420291,29781,complete,USA
MW420292,29768,partial,USA
MW420293,29781,partial,USA
MW420294,29781,complete,USA
MW420295,29781,complete,USA
MW420296,29781,complete,USA
MW420297,29781,complete,USA
MW420298,29781,complete,USA
MW420299,29781,partial,USA
MW420300,29778,complete,USA
MW420301,29781,partial,USA
MW420302,29781,partial,USA
MW420303,29781,partial,USA
MW420304,29781,complete,USA
MW420305,29781,partial,USA
MW420306,29781,partial,USA
MW420307,29781,partial,USA
MW420308,29781,partial,USA
MW420309,29781,complete,USA
MW420310,29781,complete,USA
MW420311,29781,partial,USA
MW420312,29781,complete,USA
MW420313,29781,partial,USA
MW420314,29781,complete,USA
MW420315,29781,partial,USA
MW420316,29781,complete,USA
MW420317,29781,partial,USA
MW420318,29781,partial,USA
MW420319,29781,complete,USA
MW420320,29781,partial,USA
MW420321,29781,partial,USA
MW420322,29781,partial,USA
MW420323,29781,partial,USA
MW420324,29781,partial,USA
MW420325,29781,complete,USA
MW420326,29781,partial,USA
MW420327,29781,complete,USA
MW420328,29781,complete,USA
MW420329,29772,complete,USA
MW420330,29781,complete,USA
MW420331,29781,partial,USA
MW420332,29781,partial,USA
MW420333,29781,partial,USA
MW420334,29781,complete,USA
MW420335,29781,partial,USA
MW420336,29781,complete,USA
MW420337,29781,complete,USA
MW420338,29781,partial,USA
MW420339,29781,complete,USA
MW420340,29781,partial,USA
MW420341,29781,partial,USA
MW420342,29781,complete,USA
MW420343,29781,complete,USA
MW420344,29772,partial,USA
MW420345,29781,partial,USA
MW420346,29781,complete,USA
MW420347,29781,complete,USA
MW420348,29781,partial,USA
MW420349,29781,complete,USA
MW420350,29781,complete,USA
MW420351,29781,partial,USA
MW420352,29781,partial,USA
MW420353,29781,partial,USA
MW420354,29781,partial,USA
MW420355,29781,complete,USA
MW420356,29781,complete,USA
MW420357,29781,complete,USA
MW420358,29781,partial,USA
MW420359,29781,partial,USA
MW420360,29781,partial,USA
MW420361,29781,complete,USA
MW420362,29781,complete,USA
MW420363,29781,partial,USA
MW420364,29781,partial,USA
MW420365,29781,partial,USA
MW420366,29781,complete,USA
MW420367,29781,complete,USA
MW420368,29781,complete,USA
MW420369,29780,partial,USA
MW420370,29781,complete,USA
MW420371,29781,complete,USA
MW420372,29781,complete,USA
MW420373,29781,complete,USA
MW420374,29781,complete,USA
MW420375,29781,complete,USA
MW420376,29781,partial,USA
MW420377,29781,complete,USA
MW420378,29781,complete,USA
MW420379,29781,complete,USA
MW420380,29781,partial,USA
MW420381,29781,complete,USA
MW420382,29781,complete,USA
MW420383,29781,complete,USA
MW420384,29781,partial,USA
MW420385,29781,complete,USA
MW420386,29781,complete,USA
MW420387,29781,complete,USA
MW420388,29781,complete,USA
MW420389,29781,partial,USA
MW420390,29781,complete,USA
MW420391,29775,partial,USA
MW420392,29781,complete,USA
MW420393,29781,complete,USA
MW420394,29781,partial,USA
MW420395,29781,complete,USA
MW420396,29781,complete,USA
MW420397,29781,partial,USA
MW420398,29781,complete,USA
MW420399,29781,complete,USA
MW420400,29781,partial,USA
MW420401,29781,complete,USA
MW420402,29781,complete,USA
MW420403,29781,complete,USA
MW420404,29781,complete,USA
MW420405,29781,complete,USA
MW420406,29781,complete,USA
MW420407,29781,complete,USA
MW420408,29781,complete,USA
MW420409,29781,complete,USA
MW420410,29781,complete,USA
MW420411,29781,complete,USA
MW420412,29781,partial,USA
MW420413,29781,partial,USA
MW420414,29781,complete,USA
MW420415,29781,complete,USA
MW420416,29781,complete,USA
MW420417,29781,complete,USA
MW420418,29781,complete,USA
MW420419,29781,complete,USA
MW420420,29781,partial,USA
MW420421,29781,partial,USA
MW420422,29781,complete,USA
MW420423,29781,partial,USA
MW420424,29781,partial,USA
MW420425,29781,complete,USA
MW420426,29781,partial,USA
MW420427,29781,complete,USA
MW420428,29781,complete,USA
MW420429,29781,complete,USA
MW420430,29781,partial,USA
MW420431,29781,complete,USA
MW420432,29781,partial,USA
MW420433,29781,complete,USA
MW420434,29781,complete,USA
MW420435,29781,complete,USA
MW420436,29781,partial,USA
MW420437,29781,partial,USA
MW420438,29781,partial,USA
MW420439,29781,partial,USA
MW420440,29781,partial,USA
MW420441,29781,complete,USA
MW420442,29781,complete,USA
MW420443,29781,complete,USA
MW420444,29781,complete,USA
MW420445,29781,complete,USA
MW420446,29781,partial,USA
MW420447,29781,complete,USA
MW420448,29781,partial,USA
MW420449,29781,complete,USA
MW420450,29781,partial,USA
MW420451,29781,complete,USA
MW420452,29781,complete,USA
MW420453,29781,partial,USA
MW420454,29781,partial,USA
MW420455,29781,partial,USA
MW420456,29781,partial,USA
MW420457,29781,complete,USA
MW420458,29781,complete,USA
MW420459,29781,complete,USA
MW420460,29781,complete,USA
MW420461,29781,partial,USA
MW420462,29781,complete,USA
MW420463,29781,complete,USA
MW420464,29781,complete,USA
MW420465,29781,complete,USA
MW420466,29781,partial,USA
MW420467,29781,complete,USA
MW420468,29781,complete,USA
MW420469,29781,partial,USA
MW420470,29781,complete,USA
MW420471,29781,complete,USA
MW420472,29781,partial,USA
MW420473,29781,complete,USA
MW420474,29781,partial,USA
MW420475,29781,partial,USA
MW420476,29781,partial,USA
MW420477,29781,complete,USA
MW420478,29781,partial,USA
MW420479,29781,complete,USA
MW420480,29781,complete,USA
MW420481,29781,complete,USA
MW420482,29781,complete,USA
MW420483,29781,complete,USA
MW420484,29781,partial,USA
MW420485,29781,partial,USA
MW420486,29781,partial,USA
MW420487,29781,complete,USA
MW420488,29781,complete,USA
MW420489,29781,partial,USA
MW420490,29781,partial,USA
MW420491,29781,complete,USA
MW420492,29781,complete,USA
MW420493,29781,partial,USA
MW420494,29781,complete,USA
MW420495,29781,complete,USA
MW420496,29781,partial,USA
MW420497,29781,complete,USA
MW420498,29781,complete,USA
MW420499,29781,partial,USA
MW420500,29781,partial,USA
MW420501,29781,complete,USA
MW420502,29781,partial,USA
MW420503,29781,complete,USA
MW420504,29781,partial,USA
MW420505,29781,complete,USA
MW420506,29781,complete,USA
MW420507,29781,complete,USA
MW420508,29781,partial,USA
MW420509,29781,partial,USA
MW420510,29781,partial,USA
MW420511,29781,partial,USA
MW420512,29781,complete,USA
MW420513,29781,complete,USA
MW420514,29781,complete,USA
MW420515,29781,partial,USA
MW420516,29781,partial,USA
MW420517,29781,complete,USA
MW420518,29781,partial,USA
MW420519,29781,partial,USA
MW420520,29781,partial,USA
MW420521,29781,complete,USA
MW420522,29781,partial,USA
MW420523,29781,partial,USA
MW420524,29781,partial,USA
MW420525,29781,partial,USA
MW420526,29781,complete,USA
MW420527,29781,partial,USA
MW420528,29781,partial,USA
MW420529,29781,partial,USA
MW420530,29781,complete,USA
MW420531,29781,complete,USA
MW420532,29781,complete,USA
MW420533,29781,complete,USA
MW420534,29781,partial,USA
MW420535,29781,complete,USA
MW420536,29781,partial,USA
MW420537,29781,complete,USA
MW420538,29778,partial,USA
MW420539,29781,complete,USA
MW420540,29781,complete,USA
MW420541,29781,complete,USA
MW420542,29781,complete,USA
MW420543,29781,partial,USA
MW420544,29781,complete,USA
MW420545,29781,partial,USA
MW420546,29781,complete,USA
MW420547,29781,complete,USA
MW420548,29781,complete,USA
MW420549,29781,complete,USA
MW420550,29781,complete,USA
MW420551,29781,partial,USA
MW420552,29781,partial,USA
MW420553,29781,complete,USA
MW420554,29781,complete,USA
MW420555,29781,partial,USA
MW420556,29781,partial,USA
MW420557,29781,complete,USA
MW420558,29781,partial,USA
MW420559,29781,complete,USA
MW420560,29781,complete,USA
MW420561,29781,partial,USA
MW420562,29781,complete,USA
MW420563,29781,partial,USA
MW420564,29781,partial,USA
MW420565,29781,complete,USA
MW420566,29781,partial,USA
MW420567,29781,partial,USA
MW420568,29781,complete,USA
MW420569,29781,partial,USA
MW420570,29781,complete,USA
MW420571,29781,complete,USA
MW420572,29781,complete,USA
MW420573,29781,complete,USA
MW420574,29781,complete,USA
MW420575,29781,complete,USA
MW420576,29781,complete,USA
MW420577,29781,partial,USA
MW420578,29781,partial,USA
MW420579,29781,complete,USA
MW420580,29781,partial,USA
MW420581,29781,partial,USA
MW420582,29781,complete,USA
MW420583,29781,partial,USA
MW420584,29781,partial,USA
MW420585,29781,partial,USA
MW420586,29781,partial,USA
MW420587,29781,partial,USA
MW420588,29781,complete,USA
MW420589,29781,partial,USA
MW420590,29781,partial,USA
MW420591,29781,partial,USA
MW420592,29781,partial,USA
MW420593,29781,complete,USA
MW420594,29781,complete,USA
MW420595,29781,complete,USA
MW420596,29781,partial,USA
MW420597,29781,partial,USA
MW420598,29781,partial,USA
MW420599,29781,complete,USA
MW420600,29781,partial,USA
MW420601,29781,complete,USA
MW420602,29781,partial,USA
MW420603,29781,partial,USA
MW420604,29781,partial,USA
MW420605,29781,partial,USA
MW420606,29781,partial,USA
MW420607,29781,complete,USA
MW420608,29781,partial,USA
MW420609,29781,complete,USA
MW420610,29781,partial,USA
MW420611,29781,partial,USA
MW420612,29781,complete,USA
MW420613,29781,partial,USA
MW420614,29781,partial,USA
MW420615,29781,partial,USA
MW420616,29781,partial,USA
MW420617,29781,complete,USA
MW420618,29781,partial,USA
MW420619,29781,partial,USA
MW420620,29781,partial,USA
MW420621,29781,complete,USA
MW420622,29781,partial,USA
MW420623,29781,partial,USA
MW420624,29781,complete,USA
MW420625,29781,partial,USA
MW420626,29775,complete,USA
MW420627,29781,partial,USA
MW420628,29781,complete,USA
MW420629,29781,partial,USA
MW420630,29781,partial,USA
MW420631,29781,complete,USA
MW420632,29781,partial,USA
MW420633,29781,partial,USA
MW420634,29781,complete,USA
MW420635,29781,partial,USA
MW420636,29781,partial,USA
MW420637,29781,partial,USA
